timestamp,rv_ratio,iv_ratio,full_score,rv_only_score,delta_volatility_score,full_width,rv_only_width,delta_grid_width,full_mode,rv_only_mode,full_volatility_state,rv_only_volatility_state,delta_capital,full_capital,rv_only_capital,delta_level_count,full_level_count,rv_only_level_count
2026-08-24T05:08:42.949Z,2.250833686568179,0.9946352859738685,1.9367840864196013,2.250833686568179,-0.3140496001485775,0.02905176129629402,0.03,-0.0009482387037059795,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:47.949Z,2.266314562452387,0.9947650774422427,1.948427191199851,2.266314562452387,-0.31788737125253586,0.029226407867997763,0.03,-0.0007735921320022356,defensive,defensive,high,high,0.0,500.0,500.0,0,6,6
2026-08-24T05:08:52.950Z,1.1222650018610623,0.9947650774422427,1.0903900207563575,1.1222650018610623,-0.03187498110470477,0.010903900207563575,0.011222650018610622,-0.00031874981104704735,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:08:57.952Z,0.880297555486806,0.9951310294085823,0.9090059239672501,0.880297555486806,0.028708368480444113,0.009090059239672502,0.00880297555486806,0.00028708368480444106,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:09:02.958Z,0.9300481206459514,0.9951310294085823,0.9463188478366092,0.9300481206459515,0.016270727190657697,0.009463188478366092,0.009300481206459515,0.0001627072719065769,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:09:07.953Z,0.5759770021454956,0.9982255307177944,0.6815391342885703,0.5759770021454956,0.10556213214307464,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:09:12.953Z,0.5621995603146983,0.9984415921733295,0.6712600682793561,0.5621995603146983,0.10906050796465783,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:09:17.956Z,0.5619370378027898,0.9990686996448063,0.671219953263294,0.5619370378027898,0.10928291546050417,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:09:22.957Z,0.5621801409001205,0.9990686996448063,0.6714022805862919,0.5621801409001205,0.10922213968617145,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
2026-08-24T05:09:27.958Z,0.5635706473953449,1.0017759681192064,0.6731219775763103,0.5635706473953449,0.10955133018096541,0.0075,0.0075,0.0,normal,normal,normal,normal,0.0,1000.0,1000.0,0,10,10
