timestamp,iv_minus_rv_pnl,iv_minus_static_pnl,iv_minus_rv_inventory,iv_minus_static_inventory,iv_minus_rv_drawdown,iv_minus_static_drawdown
2026-08-24T06:58:44.556Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:49.557Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:54.558Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:58:59.563Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:59:04.560Z,2.096230000000002,-27.07151,0.0,-0.043399999999999994,-0.6333200000000012,27.54548
2026-08-24T06:59:09.561Z,2.096230000000002,-26.854509999999998,0.0,-0.043399999999999994,-0.6333200000000012,27.32848
2026-08-24T06:59:14.562Z,2.0962299999999985,-26.61581,0.0,-0.043399999999999994,-0.6333199999999977,27.08978
2026-08-24T06:59:19.564Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
2026-08-24T06:59:24.565Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
2026-08-24T06:59:29.566Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
2026-08-24T06:59:34.568Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
2026-08-24T06:59:39.567Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
2026-08-24T06:59:44.568Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
2026-08-24T06:59:49.568Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
2026-08-24T06:59:54.569Z,2.0962299999999985,-26.33371,0.0,-0.043399999999999994,-0.6333199999999977,26.80768
